Account No,Description,Latitude,Longitude,Address
5611,"  1/2"" -active- /lianlee/",-0.023559,37.906193,Tumbura
Acc 02874, no meter on site- long time cut- off/ kieganguru,-0.2242847,37.652133,Unnamed Road
Acc 04615,c.o /no meter on site/kieganguru,-0.2285396,37.6532742, B6
Acc 04621, active- maximum miracle center/kieganguru,-0.2285431,37.653272,  B6
Acc 05156, /c.o/no meter on site/carried by staff/kieganguru near max miracle church,-0.2282507,37.6530199," B6, Kenya"
Acc 05222, - active/lianlee type/ kieganguru,-0.2189197,37.6587844,  CHOGORIA Location MWIMBI Division NITHI Constituency Eastern MERU SOUTH
Acc 05276, -active/lianlee/kieganguru,-0.2320016,37.6374978," Past st. Marys girls kiangima along, Embu - Meru Hwy, Chogoria"
Acc 05494, -active- Tana meter- kieganguru ,-0.023559,37.906193,Tumbura
Acc 05497, -kieganguru -honeywell  ,-0.023559,37.906193,Tumbura
Acc 05498, - c.o/ no service line/TANA Meter,-0.2265878,37.6591169," Mwimbi Maara, Kenya"
Acc 05499,c.o,-0.2217152,37.6564565,  B6
Acc 05501,active/kieganguru/lianlee,-0.023559,37.906193,  Tumbura
Acc 05502,c.o/ lianlee/kieganguru/disconnected by road,-0.2189197,37.6587844, CHOGORIA Location MWIMBI Division NITHI Constituency Eastern MERU SOUTH
Acc 05504,active/lianlee/kieganguru,-0.2285092,37.655133, QMC4+J46 marima
Acc 05505,active/lianlee/kieganguru,-0.2252114,37.6531308,Unnamed Road
Acc 05515,c.o / lianlee/kieganguru,-0.2286186,37.655098,QMC4+J46 marima
Acc 05516,c.o/lianlee/district water office,-0.2285779,37.6550724, QMC4+J46 marima
Acc 05517,c.o/ lianlee/kieganguru,-0.2285015,37.6550629,QMC4+J46 marima
Acc 05518,active/lianlee/kieganguru,-0.2289066,37.6565945,QMC4+J46 marima
Acc 05519,active/lianlee/kieganguru,-0.2289059,37.6565935,  QMC4+J46 marima
Acc 05521,active/domestic/lianlee,-0.2289059,37.6565935,             
Acc 05566,c.o/lianlee- kieganguru,-0.023559,37.906193,              Tumbura
Acc 05569,kieganguru c.o,-0.023559,37.906193,              Tumbura
Acc 05571,c.o/kieganguru,-0.023559,37.906193,              Tumbura
Acc 05572,c.o/lianlee/kieganguru,-0.023559,37.906193,              Tumbura
Acc 05573,kieganguru/lianlee /glass dirty,-0.023559,37.906193," Tumbura, Kenya"
Acc 05574,co -lianlee,-0.023559,37.906193,             Tumbura
Acc 05575, c.o on owers request /lianlee/black,-0.023559,37.906193,             Tumbura
Acc 05576,active/lianlee/glass dirty,-0.023559,37.906193,              Tumbura
Acc 05612, lianlee/active/kieganguru,-0.2237888,37.6624423,              Unnamed Road
Acc 05675,"active 1/2"" ",-0.2322019,37.6478093,              B6
Acc 05935, meter not found,-0.2283019,37.6453282," kieganguru, QJCW+C6M, chogoria"
Acc 06095,active/lianlee/meter leaking on top/kieganguru,-0.2294471,37.6511443,              QMC2+6CH chogoria
Acc 06140,active/lianlee/kieganguru/no water,-0.2315023,37.6484745,     QJCX+977 Chogoria
Acc 06141,active/dunwel/GoK,-0.2285775,37.6550603,"              QMC4+J46 , marima"
Acc 06142,active/lianlee/kieganguru,-0.2278382,37.6564313,"QMC4+J46,  marima, Kenya"
Acc 06383,c.o/lianlee/kieganguru,-0.2216983,37.6621098,"CHOGORIA Location MWIMBI Division NITHI Constituency Eastern MERU SOUTH, Kenya"
Acc 06942,"c.o bal 30805/-, suspect to be using our water -kieganguru",-0.2285389,37.6532722,               B5  Kenya
Acc 07103,c.o/meter customer house/lianlee/kieganguru,-0.2289059,37.6565935,             QMC4+J46 marima
Acc 07241,active/lianlee/kieganguru,-0.2217152,37.6564565,              B6  Kenya
Acc 08769, active/lianlee/kieganguru,-0.2285431,37.653272,             B6  Kenya
Acc 09144, active/ lianlee/ kieganguru,-0.2285431,37.653272,             B6  Kenya
Acc 09298,active/lianlee/kieganguru,-0.023559,37.906193,             Tumbura  Kenya
Acc 09652, c.o/road damage/meter not found /kieganguru,-0.2189197,37.6587844,               CHOGORIA Location MWIMBI Division NITHI Constituency Eastern MERU SOUTH
Acc 12452,"active/1.5""/chogoria Boys high school",-0.2293535,37.6322254,             Opposite Chogoria Boys High School
Acc 12461,"lianlee type, active/ MN: TSWB1500967417/kieganguru",-0.228422,37.6531712,B6  Kenya
Acc 12462,c.o/lianlee type disconnected by road,-0.2265878,37.6591169,             Mwimbi Maara
Acc 14101,lianlee/active/RE office-kieganguru,-0.2285613,37.6551041,              QMC4+J46 marima
Acc 14147,active/domestic -lianlee-kieganguru,-0.2214888,37.6544611,            B6  Kenya
Acc 14148, meter not accessible/ gate closed/active/lianlee type,-0.2314247,37.6520656,               QMC2+6CH Chogoria
Acc 14388, c.o lianlee ,-0.023559,37.906193,"           Tumbura,        Tumbura"
Acc 14401, active kieganguru /lianlee ,-0.023559,37.906193, Kenya
Acc 17168,"-1/2"" Honeywell -active ",-0.023559,37.906193,              Tumbura
Acc 18163,"-1/2""/Honeywell/kieganguru -new rdg 0",-0.2289051,37.6565959,             QMC4+J46 marima
Acc 6382,active/lianlee/kieganguru,-0.2289059,37.6565935,             QMC4+J46 marima
Acc-05500,"1/2"" active lianlee ",-0.023559,37.906193,             Tumbura  Kenya
Acc06384,active/lianlee-kieganguru,-0.2226508,37.6544611,               B6  Kenya
Acc07914,active/lianlee/kieganguru,-0.2278356,37.6564318,            QMC4+J46 Marima
Account 05506, kieganguru active    ,-0.023559,37.906193,              Tumbura  Kenya
