,Name,Authlink
0,LEVERAGING ARABIC SENTIMENT CLASSIFICATION USING AN ENHANCED CNN-LSTM APPROACH AND EFFECTIVE ARABIC TEXT PREPARATION,https://pureportal.coventry.ac.uk/en/publications/leveraging-arabic-sentiment-classification-using-an-enhanced-cnn-
1,LIFT: LNCRNA IDENTIFICATION AND FUNCTION-PREDICTION TOOL,https://pureportal.coventry.ac.uk/en/publications/lift-lncrna-identification-and-function-prediction-tool
2,MACHINE LEARNING FOR COMPUTER ALGEBRA,https://pureportal.coventry.ac.uk/en/publications/machine-learning-for-computer-algebra
3,MARKOV CHAIN MONTE CARLO-BASED ESTIMATION OF STRESS–STRENGTH RELIABILITY PARAMETER FOR GENERALIZED LINEAR FAILURE RATE DISTRIBUTIONS,https://pureportal.coventry.ac.uk/en/publications/markov-chain-monte-carlo-based-estimation-of-stressstrength-relia
4,"MATRIX DECOMPOSITION BY TRANSFORMING THE UNIT SPHERE TO AN ELLIPSOID THROUGH DILATION, ROTATION AND SHEARING",https://pureportal.coventry.ac.uk/en/publications/matrix-decomposition-by-transforming-the-unit-sphere-to-an-ellips
5,MINIMIZING AGE OF INFORMATION IN MULTI-HOP ENERGY-HARVESTING WIRELESS SENSOR NETWORK,https://pureportal.coventry.ac.uk/en/publications/minimizing-age-of-information-in-multi-hop-energy-harvesting-wire
6,MONTE CARLO SIMULATION OF STOCHASTIC DIFFERENTIAL EQUATION TO STUDY INFORMATION GEOMETRY,https://pureportal.coventry.ac.uk/en/publications/monte-carlo-simulation-of-stochastic-differential-equation-to-stu
7,MORE THAN FAITH - MUSLIM-HERITAGE CHILDREN IN CARE: STRATEGIC BRIEFING,https://pureportal.coventry.ac.uk/en/publications/more-than-faith-muslim-heritage-children-in-care-strategic-briefi
8,MULTI-PHASE LOCKING VALUE: A GENERALIZED METHOD FOR DETERMINING INSTANTANEOUS MULTI-FREQUENCY PHASE COUPLING,https://pureportal.coventry.ac.uk/en/publications/multi-phase-locking-value-a-generalized-method-for-determining-in-2
9,NEW HEURISTIC TO CHOOSE A CYLINDRICAL ALGEBRAIC DECOMPOSITION VARIABLE ORDERING MOTIVATED BY COMPLEXITY ANALYSIS,https://pureportal.coventry.ac.uk/en/publications/new-heuristic-to-choose-a-cylindrical-algebraic-decomposition-var
10,OFF THE BOIL? THE CHALLENGES OF MONITORING COOKING BEHAVIOUR IN REFUGEE SETTLEMENTS,https://pureportal.coventry.ac.uk/en/publications/off-the-boil-the-challenges-of-monitoring-cooking-behaviour-in-re
11,ON THE IMPACT OF PRIOR DISTRIBUTIONS ON EFFICIENCY OF SPARSE GAUSSIAN PROCESS REGRESSION,https://pureportal.coventry.ac.uk/en/publications/on-the-impact-of-prior-distributions-on-efficiency-of-sparse-gaus
12,ON THE IMPLEMENTATION OF CYLINDRICAL ALGEBRAIC COVERINGS FOR SATISFIABILITY MODULO THEORIES SOLVING,https://pureportal.coventry.ac.uk/en/publications/on-the-implementation-of-cylindrical-algebraic-coverings-for-sati
13,ON THE SCALABILITY OF DUTY-CYCLED LORA NETWORKS WITH IMPERFECT SF ORTHOGONALITY,https://pureportal.coventry.ac.uk/en/publications/on-the-scalability-of-duty-cycled-lora-networks-with-imperfect-sf
14,PARALLEL MULTI-SWARM COOPERATIVE PARTICLE SWARM OPTIMIZATION FOR PROTEIN–LIGAND DOCKING AND VIRTUAL SCREENING,https://pureportal.coventry.ac.uk/en/publications/parallel-multi-swarm-cooperative-particle-swarm-optimization-for-
15,PARTS OF SPEECH TAGGING IN NLP- AN INVESTIGATION ON RUNTIME OPTIMIZATION WITH QUANTUM FORMULATION AND ZX CALCULUS,https://pureportal.coventry.ac.uk/en/publications/parts-of-speech-tagging-in-nlp-an-investigation-on-runtime-optimi
16,POLYNOMIAL SUPERLEVEL SET REPRESENTATION OF THE MULTISTATIONARITY REGION OF CHEMICAL REACTION NETWORKS,https://pureportal.coventry.ac.uk/en/publications/polynomial-superlevel-set-representation-of-the-multistationarity
17,PREDICTING PRIMARY SEQUENCE-BASED PROTEIN-PROTEIN INTERACTIONS USING A MERCER SERIES REPRESENTATION OF NONLINEAR SUPPORT VECTOR MACHINE,https://pureportal.coventry.ac.uk/en/publications/predicting-primary-sequence-based-protein-protein-interactions-us
18,PREDICTING THE PUBLIC ADOPTION OF CONNECTED AND AUTONOMOUS VEHICLES,https://pureportal.coventry.ac.uk/en/publications/predicting-the-public-adoption-of-connected-and-autonomous-vehicl
19,PRIVACY ENHANCING TECHNOLOGIES (PETS) FOR CONNECTED VEHICLES IN SMART CITIES,https://pureportal.coventry.ac.uk/en/publications/privacy-enhancing-technologies-pets-for-connected-vehicles-in-sma
20,RAPID LOCALIZATION AND MAPPING METHOD BASED ON ADAPTIVE PARTICLE FILTERS,https://pureportal.coventry.ac.uk/en/publications/rapid-localization-and-mapping-method-based-on-adaptive-particle-
21,RDPSOVINA: THE RANDOM DRIFT PARTICLE SWARM OPTIMIZATION FOR PROTEIN-LIGAND DOCKING,https://pureportal.coventry.ac.uk/en/publications/rdpsovina-the-random-drift-particle-swarm-optimization-for-protei
22,RESILIENT CONSENSUS CONTROL DESIGN FOR DC MICROGRIDS AGAINST FALSE DATA INJECTION ATTACKS USING A DISTRIBUTED BANK OF SLIDING MODE OBSERVERS,https://pureportal.coventry.ac.uk/en/publications/resilient-consensus-control-design-for-dc-microgrids-against-fals
23,SAVING RESEARCH BUDGETS BY IMPROVING ALGEBRAIC TOOLS FOR THE STUDY OF POPULATION DYNAMICS,https://pureportal.coventry.ac.uk/en/publications/saving-research-budgets-by-improving-algebraic-tools-for-the-stud
24,SC-SQUARE: FUTURE PROGRESS WITH MACHINE LEARNING,https://pureportal.coventry.ac.uk/en/publications/sc-square-future-progress-with-machine-learning
25,SC-SQUARE: OVERVIEW TO 2021.,https://pureportal.coventry.ac.uk/en/publications/sc-square-overview-to-2021
